time,altitude,latitude,longitude,chlor_a,,,,,,,,,,November 2013-January 2014,,,,,latitude,longitude,chlor_a
november,m,degrees_north,degrees_east,mg m^-3,,december,,,,,,january,,,,,,total,degrees_north,degrees_east,mg m^-3
2013-11-01T12:00:00Z,0,44.56875,-124.55625,0.68088734,,2013-12-01T12:00:00Z,0,44.56875,-124.55625,0.6144357,,2014-01-01T12:00:00Z,0,44.56875,-124.55625,0.8054002,,,44.56875,-124.55625,0.70024108
2013-11-01T12:00:00Z,0,44.56875,-124.51875,0.6321253,,2013-12-01T12:00:00Z,0,44.56875,-124.51875,0.65445083,,2014-01-01T12:00:00Z,0,44.56875,-124.51875,0.8503177,,,44.56875,-124.51875,0.712297943
2013-11-01T12:00:00Z,0,44.56875,-124.48125,0.6295541,,2013-12-01T12:00:00Z,0,44.56875,-124.48125,0.70742977,,2014-01-01T12:00:00Z,0,44.56875,-124.48125,0.8423356,,,44.56875,-124.48125,0.726439823
2013-11-01T12:00:00Z,0,44.56875,-124.44375,0.6876928,,2013-12-01T12:00:00Z,0,44.56875,-124.44375,0.7990873,,2014-01-01T12:00:00Z,0,44.56875,-124.44375,0.9417903,,,44.56875,-124.44375,0.809523467
2013-11-01T12:00:00Z,0,44.56875,-124.40625,0.7142339,,2013-12-01T12:00:00Z,0,44.56875,-124.40625,0.9779662,,2014-01-01T12:00:00Z,0,44.56875,-124.40625,0.9743607,,,44.56875,-124.40625,0.8888536
2013-11-01T12:00:00Z,0,44.56875,-124.36875,0.5802567,,2013-12-01T12:00:00Z,0,44.56875,-124.36875,1.2207462,,2014-01-01T12:00:00Z,0,44.56875,-124.36875,1.002509,,,44.56875,-124.36875,0.934503967
2013-11-01T12:00:00Z,0,44.56875,-124.33125,0.6045132,,2013-12-01T12:00:00Z,0,44.56875,-124.33125,0.99259716,,2014-01-01T12:00:00Z,0,44.56875,-124.33125,1.0346148,,,44.56875,-124.33125,0.87724172
2013-11-01T12:00:00Z,0,44.56875,-124.29375,0.674357,,2013-12-01T12:00:00Z,0,44.56875,-124.29375,1.1605016,,2014-01-01T12:00:00Z,0,44.56875,-124.29375,0.98175293,,,44.56875,-124.29375,0.93887051
2013-11-01T12:00:00Z,0,44.56875,-124.25625,0.8692366,,2013-12-01T12:00:00Z,0,44.56875,-124.25625,1.1163116,,2014-01-01T12:00:00Z,0,44.56875,-124.25625,0.95325327,,,44.56875,-124.25625,0.97960049
2013-11-01T12:00:00Z,0,44.56875,-124.21875,0.7403726,,2013-12-01T12:00:00Z,0,44.56875,-124.21875,1.2209706,,2014-01-01T12:00:00Z,0,44.56875,-124.21875,1.126461,,,44.56875,-124.21875,1.029268067
2013-11-01T12:00:00Z,0,44.56875,-124.18125,1.1873664,,2013-12-01T12:00:00Z,0,44.56875,-124.18125,1.3449275,,2014-01-01T12:00:00Z,0,44.56875,-124.18125,1.1543103,,,44.56875,-124.18125,1.228868067
2013-11-01T12:00:00Z,0,44.56875,-124.14375,1.3226026,,2013-12-01T12:00:00Z,0,44.56875,-124.14375,1.563133,,2014-01-01T12:00:00Z,0,44.56875,-124.14375,1.1954681,,,44.56875,-124.14375,1.360401233
2013-11-01T12:00:00Z,0,44.56875,-124.10625,1.2433096,,2013-12-01T12:00:00Z,0,44.56875,-124.10625,2.1188028,,2014-01-01T12:00:00Z,0,44.56875,-124.10625,2.0522885,,,44.56875,-124.10625,1.8048003
2013-11-01T12:00:00Z,0,44.56875,-124.06875,1.9694834,,2013-12-01T12:00:00Z,0,44.56875,-124.06875,4.03184,,2014-01-01T12:00:00Z,0,44.56875,-124.06875,2.9859602,,,44.56875,-124.06875,2.9957612
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
